perceptual_result,group_1,stimuliShown,block,stim1,stim2,response,rt,reward,ID,stim_chosen,typeOfChoice,highChosen,riskChosen,forced,choices,win,correct,risky,trial,trial_cont,trial_id,trial_n,trigger_integer,new_block,trialIndex
overestimator,underestimator,13,1,1,3,1,0.9840647,59,1,3,2,0,NA,0,0,NA,0,NA,4,4,4,4,13,NA,4
overestimator,underestimator,13,1,1,3,0,1.1326143,63,1,1,2,1,NA,0,1,NA,1,NA,5,5,5,5,13,0,5
overestimator,underestimator,43,1,4,3,1,0.608768,55,1,3,6,NA,1,0,0,-1,NA,1,6,6,6,6,43,0,6
overestimator,underestimator,34,1,3,4,1,1.1309331,42,1,4,6,NA,0,0,0,-1,NA,0,7,7,7,7,34,0,7
overestimator,underestimator,42,1,4,2,0,1.1826298,41,1,4,5,0,NA,0,1,NA,0,NA,8,8,8,8,42,0,8
overestimator,underestimator,12,1,1,2,1,0.6281477,72,1,2,1,NA,0,0,0,1,NA,0,9,9,9,9,12,0,9
overestimator,underestimator,12,1,1,2,1,1.0904238,55,1,2,1,NA,0,0,0,1,NA,0,10,10,10,10,12,0,10
overestimator,underestimator,32,1,3,2,1,1.4507693,64,1,2,4,1,NA,0,0,NA,1,NA,11,11,11,11,32,0,11
overestimator,underestimator,34,1,3,4,0,1.1982601,29,1,3,6,NA,1,0,1,-1,NA,1,13,13,13,13,34,0,13
overestimator,underestimator,34,1,3,4,1,0.5994522,38,1,4,6,NA,0,0,0,-1,NA,0,14,14,14,14,34,0,14
overestimator,underestimator,32,1,3,2,1,1.1564967,53,1,2,4,1,NA,0,0,NA,1,NA,15,15,15,15,32,0,15
overestimator,underestimator,32,1,3,2,1,0.8418594,64,1,2,4,1,NA,0,0,NA,1,NA,16,16,16,16,32,0,16
overestimator,underestimator,42,1,4,2,1,0.8515357,61,1,2,5,1,NA,0,0,NA,1,NA,17,17,17,17,42,0,17
overestimator,underestimator,43,1,4,3,0,0.6650493,44,1,4,6,NA,0,0,1,-1,NA,0,18,18,18,18,43,0,18
overestimator,underestimator,14,1,1,4,0,1.4321454,64,1,1,3,1,NA,0,1,NA,1,NA,19,19,19,19,14,0,19
overestimator,underestimator,32,1,3,2,1,0.8826433,64,1,2,4,1,NA,0,0,NA,1,NA,21,21,21,21,32,0,21
overestimator,underestimator,43,1,4,3,1,1.0743156,21,1,3,6,NA,1,0,0,-1,NA,1,23,23,23,23,43,0,23
overestimator,underestimator,13,1,1,3,0,1.4068935,50,1,1,2,1,NA,0,1,NA,1,NA,24,24,24,24,13,0,24
overestimator,underestimator,24,1,2,4,0,1.0574537,62,1,2,5,1,NA,0,1,NA,1,NA,25,25,25,25,24,0,25
overestimator,underestimator,43,1,4,3,0,0.8723956,42,1,4,6,NA,0,0,1,-1,NA,0,26,26,26,26,43,0,26
overestimator,underestimator,32,1,3,2,1,0.8907312,57,1,2,4,1,NA,0,0,NA,1,NA,27,27,27,27,32,0,27
overestimator,underestimator,43,1,4,3,0,1.2279676,40,1,4,6,NA,0,0,1,-1,NA,0,28,28,28,28,43,0,28
overestimator,underestimator,14,1,1,4,0,1.1422737,73,1,1,3,1,NA,0,1,NA,1,NA,29,29,29,29,14,0,29
overestimator,underestimator,14,1,1,4,0,0.7526994,72,1,1,3,1,NA,0,1,NA,1,NA,30,30,30,30,14,0,30
overestimator,underestimator,14,1,1,4,0,0.5410119,73,1,1,3,1,NA,0,1,NA,1,NA,31,31,31,31,14,0,31
overestimator,underestimator,14,1,1,4,0,0.4520175,73,1,1,3,1,NA,0,1,NA,1,NA,32,32,32,32,14,0,32
overestimator,underestimator,24,1,2,4,0,0.8760802,57,1,2,5,1,NA,0,1,NA,1,NA,34,34,34,34,24,0,34
overestimator,underestimator,41,1,4,1,1,0.5649249,85,1,1,3,1,NA,0,0,NA,1,NA,35,35,35,35,41,0,35
overestimator,underestimator,31,1,3,1,1,0.8080419,72,1,1,2,1,NA,0,0,NA,1,NA,36,36,36,36,31,0,36
overestimator,underestimator,42,1,4,2,1,0.5401535,57,1,2,5,1,NA,0,0,NA,1,NA,37,37,37,37,42,0,37
overestimator,underestimator,24,1,2,4,0,0.6482889,64,1,2,5,1,NA,0,1,NA,1,NA,38,38,38,38,24,0,38
overestimator,underestimator,12,1,1,2,0,1.1493847,74,1,1,1,NA,1,0,1,1,NA,1,39,39,39,39,12,0,39
overestimator,underestimator,34,1,3,4,1,1.314682,36,1,4,6,NA,0,0,0,-1,NA,0,40,40,40,40,34,0,40
overestimator,underestimator,24,1,2,4,0,1.3426254,55,1,2,5,1,NA,0,1,NA,1,NA,41,41,41,41,24,0,41
overestimator,underestimator,41,1,4,1,1,0.6405912,78,1,1,3,1,NA,0,0,NA,1,NA,42,42,42,42,41,0,42
overestimator,underestimator,12,1,1,2,0,0.4447647,53,1,1,1,NA,1,0,1,1,NA,1,43,43,43,43,12,0,43
overestimator,underestimator,21,1,2,1,0,0.4669187,56,1,2,1,NA,0,0,1,1,NA,0,44,44,44,44,21,0,44
overestimator,underestimator,14,1,1,4,0,0.5013608,74,1,1,3,1,NA,0,1,NA,1,NA,45,45,45,45,14,0,45
overestimator,underestimator,31,1,3,1,1,1.2899903,72,1,1,2,1,NA,0,0,NA,1,NA,46,46,46,46,31,0,46
overestimator,underestimator,41,1,4,1,1,0.6167387,38,1,1,3,1,NA,0,0,NA,1,NA,47,47,47,47,41,0,47
overestimator,underestimator,12,1,1,2,0,0.9512847,68,1,1,1,NA,1,0,1,1,NA,1,49,49,49,49,12,0,49
overestimator,underestimator,42,1,4,2,1,0.7324723,58,1,2,5,1,NA,0,0,NA,1,NA,50,50,50,50,42,0,50
overestimator,underestimator,24,1,2,4,0,0.8001976,57,1,2,5,1,NA,0,1,NA,1,NA,51,51,51,51,24,0,51
overestimator,underestimator,42,1,4,2,1,0.5965228,62,1,2,5,1,NA,0,0,NA,1,NA,52,52,52,52,42,0,52
overestimator,underestimator,41,1,4,1,1,0.4414929,66,1,1,3,1,NA,0,0,NA,1,NA,53,53,53,53,41,0,53
overestimator,underestimator,21,1,2,1,1,0.4955872,64,1,1,1,NA,1,0,0,1,NA,1,54,54,54,54,21,0,54
overestimator,underestimator,32,1,3,2,1,0.8061451,55,1,2,4,1,NA,0,0,NA,1,NA,55,55,55,55,32,0,55
overestimator,underestimator,32,1,3,2,1,0.7051103,58,1,2,4,1,NA,0,0,NA,1,NA,56,56,56,56,32,0,56
overestimator,underestimator,42,1,4,2,1,0.5050029,54,1,2,5,1,NA,0,0,NA,1,NA,57,57,57,57,42,0,57
overestimator,underestimator,31,1,3,1,1,0.9772421,56,1,1,2,1,NA,0,0,NA,1,NA,58,58,58,58,31,0,58
overestimator,underestimator,13,1,1,3,0,0.5507575,75,1,1,2,1,NA,0,1,NA,1,NA,59,59,59,59,13,0,59
overestimator,underestimator,41,1,4,1,1,0.6671437,84,1,1,3,1,NA,0,0,NA,1,NA,60,60,60,60,41,0,60
